id,primary_name,overture_primary_category,top_level_category,llm_top_level_category
b5b2c173-4ad6-40ba-8ee0-0feb68d108ae,The Walt Disney Family Museum,museum,attractions_and_activities,arts_and_entertainment
357b7157-0b59-41df-8cec-12e70de7aeed,MaMo,restaurant,eat_and_drink,eat_and_drink
cfbd862e-a558-42fa-b93d-fbae014228a2,Golden Gate National Park,campground,accommodation,attractions_and_activities
caa2ce48-568b-417e-90dc-8c8e87ccb8e5,Lover's Lane Trail Presidio,park,attractions_and_activities,attractions_and_activities
118e89b4-cf25-4e4a-8014-d0dac99fa36e,Golden Gate Bridge Vista Point South,landmark_and_historical_building,attractions_and_activities,attractions_and_activities
ea5fc972-9859-4ba5-8728-d42ef6932aa0,Battery Crosby,landmark_and_historical_building,attractions_and_activities,attractions_and_activities
8b1322a8-65f2-4818-b748-1983057e52e7,Presidio Beach,park,attractions_and_activities,attractions_and_activities
dc2db241-7d73-4c2a-a6e0-6503580a044a,Cow Hollow School,preschool,education,education
446c20d1-f487-4043-9583-f727a752d50e,Kirby Cove Campground,campground,accommodation,attractions_and_activities
f928f380-c391-4379-9f1c-ed3421e88b94,United States Postal Service,shipping_center,professional_services,public_service_and_government
e5043d7d-f519-4548-a6b4-526280f81cde,Sailing San Francisco,boat_rental_and_training,attractions_and_activities,active_life
cbff135c-3703-4eee-828b-834d3da35d95,Doorman Property Management,real_estate_agent,real_estate,real_estate
8ab906fb-6ea0-4c63-9f46-e6409053caa8,Pet Food Express,pet_store,retail,pets
dd223863-5a0d-4188-9055-9cdecb33bcd0,Café - The Walt Disney Family Museum,cafe,eat_and_drink,eat_and_drink
4484f981-9ff2-4bd9-be69-af2b7196c706,State Farm Insurance,insurance_agency,financial_service,financial_service
69090c6a-e6fd-4324-8b96-9df67a5b7e30,Bright Horizons at One Letterman,preschool,education,education
d95a8648-1e5a-4de9-8434-5c56e9fb2ea9,Bridge Cafe,coffee_shop,eat_and_drink,eat_and_drink
55135b2b-699e-42ae-8397-da8c32594b5d,Edge of the World Tours,tours,travel,attractions_and_activities
f9bf748d-c374-4ca0-a1fe-1be4ef95bf59,"Laura Lanzone, Realtor",real_estate_agent,real_estate,real_estate
29064b59-c6be-49a4-9fab-7ad1396c8b0a,SF Camerawork,art_gallery,attractions_and_activities,arts_and_entertainment
00eddac2-0e89-410d-ad2d-bd66d0b1391f,Batteries to Bluffs Trail,park,attractions_and_activities,attractions_and_activities
15e7959f-cbd4-43ca-b73e-e7148f219d74,Coghlan Beach,beach,attractions_and_activities,attractions_and_activities
3e60f335-7830-4638-8a2e-09d6e9ca42c3,Kim Barnes - McGuire Real Estate,real_estate_agent,real_estate,real_estate
8d3e5fc5-f358-4745-8d6c-11097a73fa57,de'Arti Salon,beauty_salon,beauty_and_spa,beauty_and_spa
6d453a7d-89c4-4455-8a4c-2be6ce97f620,Safeway,grocery_store,retail,retail
7ff7f5da-b59e-4dde-9694-f63b85ed398c,Redbox,clothing_rental,retail,retail
1a74e11f-b3c0-4b2d-b227-7044ac80dca4,Kumon,tutoring_center,education,education
108dd5d1-f435-433b-b5c7-79135708c3fd,Launch Incentives,event_planning,professional_services,business_to_business
