top_level_category,subcategory,taxonomy_path
accommodation,accommodation,accommodation
accommodation,beach_resort,"accommodation,resort,beach_resort"
accommodation,bed_and_breakfast,"accommodation,bed_and_breakfast"
accommodation,cabin,"accommodation,cabin"
accommodation,campground,"accommodation,campground"
accommodation,cottage,"accommodation,cottage"
accommodation,guest_house,"accommodation,guest_house"
accommodation,health_retreats,"accommodation,health_retreats"
accommodation,holiday_rental_home,"accommodation,holiday_rental_home"
accommodation,hostel,"accommodation,hostel"
accommodation,hotel,"accommodation,hotel"
accommodation,inn,"accommodation,inn"
accommodation,lodge,"accommodation,lodge"
accommodation,motel,"accommodation,motel"
accommodation,mountain_huts,"accommodation,mountain_huts"
accommodation,resort,"accommodation,resort"
accommodation,rv_park,"accommodation,rv_park"
accommodation,service_apartments,"accommodation,service_apartments"
active_life,active_life,active_life
active_life,adventure_sports_center,"active_life,sports_and_recreation_venue,adventure_sports_center"
active_life,aerial_fitness_center,"active_life,sports_and_fitness_instruction,aerial_fitness_center"
active_life,airsoft_fields,"active_life,sports_and_recreation_venue,airsoft_fields"
active_life,amateur_sports_league,"active_life,sports_club_and_league,amateur_sports_league"
active_life,amateur_sports_team,"active_life,sports_club_and_league,amateur_sports_team"
active_life,american_football_field,"active_life,sports_and_recreation_venue,american_football_field"
active_life,archery_range,"active_life,sports_and_recreation_venue,archery_range"
active_life,atv_recreation_park,"active_life,sports_and_recreation_venue,atv_recreation_park"
active_life,badminton_court,"active_life,sports_and_recreation_venue,badminton_court"
active_life,barre_classes,"active_life,sports_and_fitness_instruction,barre_classes"
active_life,baseball_field,"active_life,sports_and_recreation_venue,baseball_field"
active_life,basketball_court,"active_life,sports_and_recreation_venue,basketball_court"
active_life,batting_cage,"active_life,sports_and_recreation_venue,batting_cage"
active_life,beach_equipment_rentals,"active_life,sports_and_recreation_rental_and_services,beach_equipment_rentals"
active_life,beach_volleyball_club,"active_life,sports_club_and_league,beach_volleyball_club"
active_life,beach_volleyball_court,"active_life,sports_and_recreation_venue,beach_volleyball_court"
active_life,bicycle_path,"active_life,sports_and_recreation_venue,bicycle_path"
active_life,bike_rentals,"active_life,sports_and_recreation_rental_and_services,bike_rentals"
active_life,bocce_ball_court,"active_life,sports_and_recreation_venue,bocce_ball_court"
active_life,boot_camp,"active_life,sports_and_fitness_instruction,boot_camp"
active_life,bowling_alley,"active_life,sports_and_recreation_venue,bowling_alley"
active_life,boxing_class,"active_life,sports_and_fitness_instruction,boxing_class"
active_life,boxing_club,"active_life,sports_and_fitness_instruction,boxing_club"
active_life,boxing_gym,"active_life,sports_and_fitness_instruction,boxing_gym"
active_life,brazilian_jiu_jitsu_club,"active_life,sports_club_and_league,martial_arts_club,brazilian_jiu_jitsu_club"
active_life,bubble_soccer_field,"active_life,sports_and_recreation_venue,bubble_soccer_field"
active_life,canoe_and_kayak_hire_service,"active_life,sports_and_recreation_rental_and_services,boat_hire_service,canoe_and_kayak_hire_service"
active_life,cardio_classes,"active_life,sports_and_fitness_instruction,cardio_classes"
active_life,chinese_martial_arts_club,"active_life,sports_club_and_league,martial_arts_club,chinese_martial_arts_club"
active_life,climbing_class,"active_life,sports_and_fitness_instruction,climbing_class"
active_life,cycling_classes,"active_life,sports_and_fitness_instruction,cycling_classes"
active_life,dance_school,"active_life,sports_and_fitness_instruction,dance_school"
active_life,disc_golf_course,"active_life,sports_and_recreation_venue,disc_golf_course"
active_life,diving_center,"active_life,sports_and_recreation_venue,diving_center"
active_life,driving_range,"active_life,sports_and_recreation_venue,golf_course,driving_range"
active_life,ems_training,"active_life,sports_and_fitness_instruction,ems_training"
active_life,equestrian_facility,"active_life,sports_and_recreation_venue,horse_riding,equestrian_facility"
active_life,esports_league,"active_life,sports_club_and_league,esports_league"
active_life,esports_team,"active_life,sports_club_and_league,esports_team"
active_life,fencing_club,"active_life,sports_club_and_league,fencing_club"
active_life,fishing_club,"active_life,sports_club_and_league,fishing_club"
active_life,fitness_trainer,"active_life,sports_and_fitness_instruction,fitness_trainer"
active_life,flyboarding_center,"active_life,sports_and_recreation_venue,flyboarding_center"
active_life,football_club,"active_life,sports_club_and_league,football_club"
active_life,free_diving_center,"active_life,sports_and_recreation_venue,diving_center,free_diving_center"
active_life,free_diving_instruction,"active_life,sports_and_fitness_instruction,diving_instruction,free_diving_instruction"
active_life,futsal_field,"active_life,sports_and_recreation_venue,futsal_field"
active_life,go_kart_club,"active_life,sports_club_and_league,go_kart_club"
active_life,golf_club,"active_life,sports_club_and_league,golf_club"
active_life,golf_course,"active_life,sports_and_recreation_venue,golf_course"
active_life,golf_instructor,"active_life,sports_and_fitness_instruction,golf_instructor"
active_life,gym,"active_life,sports_and_recreation_venue,gym"
active_life,gymnastics_center,"active_life,sports_and_recreation_venue,gymnastics_center"
active_life,gymnastics_club,"active_life,sports_club_and_league,gymnastics_club"
active_life,handball_court,"active_life,sports_and_recreation_venue,handball_court"
active_life,hang_gliding_center,"active_life,sports_and_recreation_venue,hang_gliding_center"
active_life,health_consultant,"active_life,sports_and_fitness_instruction,health_consultant"
active_life,hockey_field,"active_life,sports_and_recreation_venue,hockey_field"
active_life,horse_racing_track,"active_life,sports_and_recreation_venue,horse_riding,horse_racing_track"
active_life,horse_riding,"active_life,sports_and_recreation_venue,horse_riding"
active_life,ice_skating_rink,"active_life,sports_and_recreation_venue,skating_rink,ice_skating_rink"
active_life,indoor_golf_center,"active_life,sports_club_and_league,golf_club,indoor_golf_center"
active_life,karate_club,"active_life,sports_club_and_league,martial_arts_club,karate_club"
active_life,kickboxing_club,"active_life,sports_club_and_league,martial_arts_club,kickboxing_club"
active_life,kiteboarding,"active_life,sports_and_recreation_venue,kiteboarding"
active_life,lawn_bowling_club,"active_life,sports_club_and_league,lawn_bowling_club"
active_life,martial_arts_club,"active_life,sports_club_and_league,martial_arts_club"
active_life,meditation_center,"active_life,sports_and_fitness_instruction,meditation_center"
active_life,miniature_golf_course,"active_life,sports_and_recreation_venue,miniature_golf_course"
active_life,muay_thai_club,"active_life,sports_club_and_league,martial_arts_club,muay_thai_club"
active_life,nudist_clubs,"active_life,sports_club_and_league,nudist_clubs"
active_life,paddle_tennis_club,"active_life,sports_club_and_league,paddle_tennis_club"
active_life,paddleboarding_center,"active_life,sports_and_recreation_venue,paddleboarding_center"
