,Precision,Recall,F1,Support
attractions_and_activities,0.89,0.94,0.91,33
professional_services,0.83,0.42,0.56,12
retail,1.0,0.5,0.67,10
real_estate,1.0,1.0,1.0,7
education,0.75,1.0,0.86,6
eat_and_drink,0.71,1.0,0.83,5
home_service,0.5,0.5,0.5,4
active_life,1.0,0.25,0.4,4
accommodation,1.0,0.33,0.5,3
health_and_medical,1.0,0.67,0.8,3
financial_service,0.67,1.0,0.8,2
public_service_and_government,0.33,0.5,0.4,2
beauty_and_spa,0.5,1.0,0.67,2
arts_and_entertainment,0.5,1.0,0.67,2
mass_media,1.0,1.0,1.0,1
pets,0.5,1.0,0.67,1
private_establishments_and_corporates,0.0,0.0,0.0,1
religious_organization,0.5,1.0,0.67,1
travel,1.0,1.0,1.0,1
